,Average Tee To Green,Average Driving Distance,Average SG: Putting,Average Approach the Green,Average Off The Tee,Average SG: Around The Green,Scoring Average,Rank,Height,Weight,Sand Saves,Bunkers,Hit Fairway
Jim Furyk,0.418,281.1,-1.212,-0.043,0.223,0.238,70.287,21,188,84,3,6,36
Nate Lashley,0.396,287.6,0.73,0.653,-0.119,-0.139,70.437,33,183,86,6,19,116
Jonathan Byrd,0.375,276.9,0.231,0.508,-0.412,0.279,71.111,86,175,75,8,16,103
Brendan Steele,0.356,310.6,-0.725,-0.287,0.814,-0.17,72.182,171,188,79,11,27,79
James Hahn,0.354,292,-0.561,0.202,0.257,-0.105,71.638,138,185,82,19,31,96
Paul Casey,0.336,280.7,-0.463,0.362,-0.08,0.054,71.019,79,178,82,15,33,65
Patrick Rodgers,0.316,304.8,0.567,0.499,0.004,-0.187,70.987,73,188,83,16,37,139
Jim Herman,0.313,287.9,-0.623,0.628,0.245,-0.559,72.086,163,183,77,11,26,105
Kyle Stanley,0.278,296.1,-0.005,0.076,0.156,0.046,71.324,106,180,75,19,36,39
Danny Lee,0.277,309.7,-0.046,0.158,0.38,-0.261,70.539,38,180,79,22,36,102
Rickie Fowler,0.264,297,0.234,-0.168,0.547,-0.115,70.082,16,175,68,8,20,59
Troy Merritt,0.264,296.6,0.327,-0.209,-0.043,0.516,71.16,89,183,73,19,31,164
Billy Horschel,0.257,283.6,-0.26,-0.121,0.024,0.354,71.457,120,183,79,14,31,66
Tom Hoge,0.256,286.2,-0.103,0.637,-0.296,-0.084,71.926,154,185,79,23,38,126
Cameron Davis,0.244,311.7,0.039,0.275,0.35,-0.381,71.153,88,193,82,18,31,127
Adam Hadwin,0.221,297.9,0.259,0.362,0.786,-0.927,70.217,17,173,75,24,33,70
Josh Teater,0.218,288.5,-0.659,0.145,-0.152,0.224,71.669,143,178,82,13,32,100
J.T. Poston,0.217,295.9,0.166,0.317,0.045,-0.145,70.63,46,188,74,29,50,163
Harris English,0.205,298,0.183,-0.129,-0.058,0.392,71.166,91,191,84,23,43,179
Nick Watney,0.202,296.1,-0.433,0.096,0.184,-0.078,71.246,100,188,82,19,42,114
Si Woo Kim,0.183,298.8,0.714,-0.232,-0.007,0.422,70.388,28,180,83,26,47,98
Brian Stuard,0.182,276.9,0.048,-0.256,-0.199,0.637,71.685,144,178,79,25,47,146
Kevin Na,0.178,311,-1.939,-1.146,0.177,1.147,72.151,169,180,76,17,31,20
Sung Kang,0.162,296,0.482,0.185,-0.278,0.255,70.876,64,173,75,31,45,97
Graeme McDowell,0.137,289.9,0.918,0.293,0.006,-0.163,70.631,47,178,73,15,26,73
Scott Stallings,0.136,299.5,-0.706,0.586,-0.017,-0.432,72.6,188,183,88,12,31,105
Martin Laird,0.129,295.2,0.333,0.097,-0.158,0.191,71.054,81,188,86,18,32,114
Beau Hossler,0.126,301.2,0.101,0.064,-0.274,0.336,71.643,140,185,88,20,38,68
Bubba Watson,0.122,292.8,-2.082,0.135,0.633,-0.646,73.96,213,191,82,4,8,59
Fabi‡n G—mez,0.121,287.3,-0.214,-0.149,0.219,0.051,71.597,132,173,74,17,35,161
Adam Schenk,0.097,299.8,0.65,0.281,0.072,-0.257,70.966,70,188,86,16,38,150
Martin Trainer,0.095,311.3,-0.51,-0.756,0.649,0.202,72.133,168,185,80,15,27,87
Scott Brown,0.063,285.8,0.554,-0.31,-0.035,0.408,70.862,61,173,77,21,37,133
Hudson Swafford,0.049,297.7,0.293,0.086,-0.157,0.12,70.999,74,191,91,29,45,171
Patrick Reed,0.041,293.8,0.779,-0.376,0.174,0.243,70.534,36,183,91,17,30,94
Kevin Kisner,0.033,287.3,0.458,0.356,0.29,-0.614,70.667,51,178,75,12,27,81
Andrew Putnam,0.032,284.8,1.936,0.488,-0.652,0.196,70.538,37,185,77,22,34,91
Andres Romero,0.005,292.1,0.665,0.322,0.166,-0.483,71.636,136,178,75,6,12,36
Jim Knous,-0.003,297.4,0.109,0.257,0.076,-0.336,71.272,101,185,81,11,26,104
Sam Burns,-0.032,305.3,-0.064,-0.352,0.352,-0.031,71.436,118,185,83,14,33,142
Jonas Blixt,-0.035,288.2,0.06,0.017,-0.008,-0.045,71.42,116,178,74,16,31,126
Brandt Snedeker,-0.05,295.2,0.88,-0.272,-0.314,0.536,71.526,125,185,84,29,51,130
Richy Werenski,-0.07,290.2,0.283,0.036,0.172,-0.279,70.716,56,183,74,17,31,144
"Ted Potter, Jr.",-0.079,278.1,-0.458,0.335,0.104,-0.518,71.662,142,180,82,18,37,128
